"fi_FI";"en_GB";"se_SV"
"Tervetuloa yleisten kirjastojen hankerekisterin visualisointiin. Tämän visualisoinnin avulla voit tutustua niihin haettuihin kehittämishankkeisiin, joille ei myönnetty tukea.";"Welcome to the visualisation of the Finnish public library project register. This visualisation tool will help you explore those public library development projects, that did not receive funding.";"Välkommen till visualiseringen av projektregistret för de allmänna biblioteken. Med hjälp av den här visualiseringen kan du bekanta dej med sådana projekt som inte beviljats understöd."
"Tervetuloa yleisten kirjastojen hankerekisterin visualisointiin. Tämän visualisoinnin avulla voit tutustua vuoden 2015 hakukierroksella jätettyihin kehittämishankeavustuksiin.";"Welcome to the visualisation of the Finnish public library project register. This visualisation tool will help you explore the autumn 2015 submitted funding applications for public library development projects in Finland.";"Välkommen till visualiseringen av projektregistret för de allmänna biblioteken. Med hjälp av den här visualiseringen kan du bekanta dig med de projektansökningar som lämnats in under ansökningsomgången hösten 2015."
"Yksi pallo edustaa yhtä hanketta. Pallon koko kertoo, kuinka paljon avustusta hankkeelle on haettu. Viemällä hiirenosoittimen pallon päälle saa hankkeesta lisätietoa. Palloa klikkaamalla pääsee hankkeen nettisivuille.";"One sphere represents one project. The size of the sphere indicates the amount of funding applied for the project. For more information on the project, move cursor above the sphere. Click the sphere to move to a specific project website (only in Finnish/Swedish).";"Varje cirkel representerar ett projekt. Storleken på cirkeln visar hur stort bidrag projektet har beviljats. Genom att föra muspekaren över en cirkel får du mera information om projektet. Genom att klicka på cirkeln kommer du till projektets nätsidor. "
"Yksi pallo edustaa yhtä hyvää käytäntöä. Viemällä hiirenosoittimen pallon päälle saa käytänteestä lisätietoa. Palloa klikkaamalla pääsee käytänteen nettisivuille.";"One sphere represents one good practice. For more information on the practice, move cursor above the sphere. Click the sphere to move to a specific pracice website (only in Finnish/Swedish).";"Varje cirkel representerar en god praxis. Genom att föra muspekaren över en cirkel får du mera information om praxisen. Om du klickar på cirkeln kommer du till en nätsida där praxisen beskrivs."
"Hyvien käytänteiden jakaumaa voi muuttaa yläpalkin ""tarkastele""-valikoista. Väritystä voi muuttaa vasemmassa sivupalkissa olevasta valikosta. Myös käytänteiden kohderyhmiä voi tarkastella ylä-valikossa olevasta pudotusvalikosta. Etsi-toiminnolla voi etsiä hyvää käytäntöä nimeltä.";"The distribution of the practices can be changed by clicking the ""view by"" buttons on the top menu bar. Colours can be changed from the menu on the left. The practices distribution can be viewed also by target groups by choosing a group from the drop-down menu on the top menu bar.";"I ""Sortera""-menyn i den övre balken kan du välja olika kriterier enligt vilka du kan sortera de goda praxisarna. I menyn i den vänstra balken kan du färgsätta cirklarna enligt olika kriterier. I rullgardinsmenyn i den övre balken kan du välja att visa exempel på god praxis riktade till olika målgrupper. Med hjälp av sökfunktionen i den övre balken kan du söka praxis enligt praxisens namn."
"Hankkeiden jakaumaa voi muuttaa yläpalkin ""tarkastele""-valikoista. Väritystä voi muuttaa vasemmassa sivupalkissa olevasta valikosta. Myös Hankkeiden kohderyhmiä voi tarkastella ylä-valikossa olevasta pudotusvalikosta. Etsi-toiminnolla voi etsiä hanketta nimeltä.";"The distribution of the projects can be changed by clicking the ""view by"" buttons on the top menu bar. Colours can be changed from the menu on the left. The project distribution can be viewed also by target groups by choosing a group from the drop-down menu on the top menu bar.";"I Sortera-menyn i den övre balken kan du välja olika kriterier enligt vilka du kan sortera projekten. I menyn i den vänstra balken kan du färgsätta cirklarna enligt olika kriterier. I rullgardinsmenyn i den övre balken kan du välja att visa projekt riktade till olika målgrupper. Med hjälp av sökfunktionen i den övre balken kan du söka projekt enligt projektets namn."
"Kuinka visualisointi toimii";"How does the visualisation work?";"Hur visualiseringen fungerar"
"Yksi pallo edustaa yhtä hanketta. Pallon koko kertoo, kuinka paljon avustusta hankkeelle on myönnetty. Viemällä hiirenosoittimen pallon päälle saa hankkeesta lisätietoa. Palloa klikkaamalla pääsee hankkeen nettisivuille.";"One sphere represents one project. The size of the sphere indicates the amount of funding granted to the project. For more information on the project, move cursor above the sphere. Click the sphere to move to a specific project website (only in Finnish/Swedish).";"Varje cirkel representerar ett projekt. Storleken på cirkeln visar hur stort bidrag som har ansökts för projektet. Genom att föra muspekaren över en cirkel får du mera information om projektet. Genom att klicka på cirkeln kommer du till projektets nätsidor."
"Hankkeiden jakaumaa voi muuttaa yläpalkin ""tarkastele""-valikoista. Väritystä voi muuttaa vasemmassa sivuapalkissa olevasta valikosta. Myös Hankkeiden kohderyhmiä voi tarkastella ylä-valikossa olevasta pudotusvalikosta. Etsi-toiminnolla voi etsiä hanketta nimeltä.";"The distribution of the projects can be changed by clicking the ""view by"" buttons on the top menu bar. Colours can be changed from the menu on the left. The project distribution can be viewed also by target groups by choosing a group from the drop-down menu on the top menu bar.";
"Visualisointi ei valitettavasti toimi vanhemmilla internet-selaimilla (esim. IE8 ja sitä vanhemmat).";"The visualisation does not unfortunately work on older internet-browsers (e.g. IE8 and older).";"Visualiseringen fungerar tyvärr inte i äldre webbläsare (t. ex. IE8 och äldre)"
"Pylväskuviossa näytettävän jakauman voi valita yläpalkin ""tarkastele""-valikoista. Palkkien väritystä voi muuttaa vasemmassa sivupalkissa olevasta valikosta. Suodattimista on mahdollista rajata kuvioon laskettavien hankkeiden määrää.";"Shown bars in the barchart can be changed by clicking the ""view by"" buttons on the top menu bar. Colours can be changed from the menu on the left. Calculated projects can be filtered from the filters-menu";
"Voit myös vaihtaa palkkien asettelua sivupalkin painikkeista ""pinottu"" ja ""rinnakkain"". Palkkikaavion näkymää voi myös suurentaa ""maalaamalla"" palkkeja pystysuoraan.";"The arranging of the bars can be changed from the ""stacked"" and ""normal"" -buttons. Barchart can zoomed by ""painting"" the bars vertically.";
"Hankkeiden jakaumaa voi muuttaa ylälaidan ""tarkastele""-valikoista. Väritystä voi muuttaa vasemmassa sivupalkissa olevasta valikosta. Suodattimista on mahdollista rajata näytettävien hankkeiden määrää. Myös hankkeiden kohderyhmiä voi tarkastella sivupalkissa olevasta pudotusvalikosta. Etsi-toiminnolla voi etsiä hanketta nimeltä.";"The distribution of the projects can be changed by clicking the ""view by"" buttons on the top menu bar. Colours can be changed from the menu on the left. The project distribution can be viewed also by target groups by choosing a group from the drop-down menu. Shown projects can be filtered from the filters-menu. Search-function allows to search projects by their name.";
"Valitse visualisointi";"Select chart";"Välj visualisering"
Pallot;Bubblechart;
Tarkastele;"View by";"Sortera enligt"
Palkit;Barchart;
"Hankerekisterin<b> Visualisointi </b>";"Project register <b>visualisation</b>";"Visualisering av projektregistret"
"Paluu hankerekisteriin";"Return to project register";"Till projektregistret"
"Vaihda väritystä";"Change color";"Färgsätt enligt"
Suodattimet;Filters;Filter
"Tutustu myös muihin visualisointeihin";"Visit also other visualisations";"Bekanta dej också med andra visualiseringar"
Espoo;;Esbo
Hanko;;Hangö
Helsinki;;Helsingfors
Vantaa;;Vanda
Kaskinen;;Kaskö
Kauniainen;;Grankulla
Kirkkonummi;;Kyrkslått
Kokkola;;Karleby
Lapinjärvi;;Lappträsk
Loviisa;;Lovisa
Lohja;;Lojo
Myrskylä;;Mörskom
Pyhtää;;Pyttis
Porvoo;;Borgå
Sipoo;;Sibbo
Siuntio;;Sjundeå
Turku;;Åbo
Vaasa;;Vasa
Inkoo;;Ingå
Kemiönsaari;;Kimitoön
Kristiinankaupunki;;Kristinestad
Kronoby;;Kruunupyy
Maalahti;;Malax
Mustasaari;;Korsholm
Parainen;;Pargas
Pietarsaari;;Jakobstad
"Pedersören kunta";;Pedersöre
Raasepori;;Raseborg
Uusikaarlepyy;;Nykarleby
Vöyri;;Vörå
Luoto;;Larsmo
Maarianhamina;;Mariehamn
Närpiö;;Närpes
Enontekiö;;Enontekis
Eurajoki;;Euraåminne
Hailuoto;;Karlö
Hamina;;Fredrikshamn
Hyvinkää;;Hyvinge
Hämeenkyrö;;Tavastkyro
Hämeenlinna;;Tavastehus
Iisalmi;;Idensalmi
Ikaalinen;;Ikalis
Ilomantsi;;Ilomants
Inari;;Enare
Isojoki;;Storå
Isokyrö;;Storkyro
Jokioinen;;Jockis
Joroinen;;Jorois
Järvenpää;;Träskända
Kaarina;;"S:t Karins"
Kajaani;;Kajana
Karijoki;;Bötom
Karkkila;;Högfors
Kaustinen;;Kaustby
Kerava;;Kervo
Kokemäki;;Kumo
Kustavi;;Gustavs
Köyliö;;Kjulo
Lahti;;Lahtis
Laihia;;Laihela
Lappeenranta;;Villmanstrand
Lapua;;Lappo
Lieto;;Lundo
Liminka;;Limingo
Merikarvia;;Sastmola
Mikkeli;;"S:t Michel"
Naantali;;Nådendal
Nousiainen;;Nousis
Oulu;;Uleåborg
Paimio;;Pemar
Pirkkala;;Birkala
Pomarkku;;Påmark
Pori;;Björneborg
Pornainen;;Borgnäs
Raahe;;Brahestad
Raisio;;Reso
Rauma;;Raumo
Sauvo;;Sagu
Savonlinna;;Nyslott
Taivassalo;;Tövsala
Tampere;;Tammerfors
Teuva;;Östermark
Tornio;;Torneå
Tuusula;;Tusby
Ulvila;;Ulvsby
Uusikaupunki;;Nystad
Veteli;;Vetil
Vihti;;Vichtis
Virrat;;Virdois
Ylitornio;;Övertorneå
Ähtäri;;Etseri
"Toteuttajan nimi";"Host institution";"Projekt utförs av"
Teema;Theme;Tema
Maakunta;Region;Landskap
Kunta;Munivipality;Kommun
Vaikutusalue;Area;Influensområde
Kohderyhmät;"Target groups";Målgrupper
Rahoittaja;"Funding body";Finansiär
Vuosi;Year;År
"Myönnetty avustus";"Awarded funds";"Beviljat bidrag"
"Haettu avustus";"Applied funding";"Ansökt bidrag"
"Oma rahoitus";"Own funding";"Egen finansiering"
"Tutustu hankkeeseen tarkemmin";"Read more about project";"Projekt webbsidan"
Kieli;Language;Språk
käytännettä;practices;praxis
"Hyvät käytänteet";"Good practises";"God praxis"
"Hankkeet, joille ei myönnetty tukea";"Projects that did not receive funding";"Projekt, som inte beviljats understöd"
"Hyväksytyt hankkeet";"Approved projects";"Godkända projekt"
"Uudet hankehakemukset";"New project funding applications";"Nya projektansökningar"
"Hankerekisterin visualisointi - Hankkeet, joille ei myönnetty rahoitusta";"Project register visualisation - Projects that did not receive funding";"Visualisering av projektregistret - Projekt, som inte beviljats understöd"
"Hankerekisterin visualisointi";"Project register visualisation";
"Hankerekisterin visualisointi - Uudet hakemukset";"Project register visualisation - New project funding applications ";
"Näytä info";"Show info";"Visa info"
"Piilota info";"Hide info";"Göm info"
"Lähetä palautetta";"Give feedback";"Skicka respons"
"Tarkastele kohderyhmittäin";"View by target group";"Granska målgruppsvis"
"Etsi hanketta nimeltä";"Search project by name";"Sökt projekt enligt namn"
Lataa;Export;Ladda
"Tulosta kaavio";"Print chart";"Skriva ut"
"Lataa PNG-kuva";"Download PNG-image";"Ladda PNG-bild"
"Lataa JPEG-kuvat";"Download JPEG-image";"Ladda JPEG-bild"
"Lataa PDF-dokumentti";"Download PDF-document";"Ladda PDF"
"Lataa SVG-vektorikuva";"Download SVG-vector-image";"Ladda SVG-vektor-bild"
"Lataa CSV-tiedosto";"Download CSV-file";"Ladda CSV-fil"
"Lataa XLS-tiedosto";"Download XLS-file";"Download XLS-fil"
Aluehallintovirasto;"Regional State Administrative Agency Area (Avi)";RFV-område
Toteuttaja;"Host institution";Bibliotek
Pinottu;Stacked;Stapla
Rinnakkain;Normal;Normal
"Vaihda palkkien asettelua";"Change chart layout";"Change chart layout"
Tietokanta;Database;Databas
"(yhteensä {0} €)";"(total {0} €)";"(sammanlagd {0} €)"
Info;Info;Info
Väriselite;Legend;Legend
"ja {0} muuta";" and {0} anothers";
"Valitse kaikki";"Select all";
"Poista kaikki";"Unselect all";
"Syötä hakusana";Filter;
Visualisointi;Visualisation;
Etsi;Search;
"Rajaa hankkeiden määrää";"Filter projects";
"Akaan kaupunginkirjasto";;
"Alajärven kaupunki/Alajärven kaupunginkirjasto";;
"Alajärven kaupunki/Järvi-Pohjanmaan kirjastot: Alajärvi,Soini,Vimpeli";;
"Alajärven kaupunki/YTY -kirjastot: Alajärvi (sisältää Lehtimäen), Evijärvi, Lappajärvi, Perho, Soini, Veteli ja Vimpeli";;
"Alavieskan kunnankirjasto";;
"Alavieskan kunta/Kirjasto";;
"Alavuden kaupunginkirjasto";;
"Asikkalan kirjasto";;
"Askolan kunnankirjasto";;
"Auran kirjasto";;
"Auran kirjasto";;
"Enonkosken kunnankirjasto";;
"Enontekiön kunnankirjasto";;
"Esbo stadsbibliotek";;
"Espoon kaupunginkirjasto";;
"Espoon kaupunginkirjasto - Entressen kirjasto";;
"Espoon kaupunginkirjasto - Kirjasto Omena";;
"Espoon kaupunginkirjasto - Sellon kirjasto";;
