"Vuosi","Erityisavustus","Asian nimi","Hanke","kid","AvustuskokonaisuusKoodi","Kunta","Maakunta","Hakija","ToimiNimi","AviKoodi","Kieli","Myönnetty Avustus","KuvausTeksti","Toteutusalue","HankkeenSijaintikuntaTeksti","VaikutusalueKoodiTeksti","YhteistyotahotTeksti","KohdeRyhma","AsiaSana","TeemaKoodiTeksti","TiivistettyKuvausHankkeestaTeksti","HankkeenKohdistuminen.VarhaiskasvatusJaEsiopetusKytkin","HankkeenKohdistuminen.TyoikaisetAikuisetKytkin","HankkeenKohdistuminen.ElamankulkuKytkin","HankkeenKohdistuminen.MuuKohderyhmaKytkin","HankkeenKohdistuminen.KotouttavaLiikuntaKytkin","HankkeenKohdistuminen.IkaihmisetKytkin","HankkeenKohdistuminen.MuuLastenJaNuortenKohderyhmaKytkin","HankkeenKohdistuminen.SoveltuvaLiikuntaKytkin","HankkeenKohdistuminen.MuuKohderyhmaTeksti","Diaarinumero","KORG_ID","K_01_Kysely_ID","K_01_PAR_ID","Kysely status 2019","K_02_Yhteistiedot_Organisaation_nimi","K_02_Yhteistiedot_Työpajan_nimi","Ytunnus","K_47_valmentautuja_Nuoria_yht","K_47_valmentautuja_yhteensä_yht","K_43_Henk_htv_yhteensä_yht","K_43_Henk_no_yhteensä_yht","KerhotoimintaanOsallistuvatYhteensaLkm","PaivaleiritoimintaanOsallistuvatYhteensaLkm","KerhojenMaaraYhteensaLkm","PaivaleirienMaaraLkm","Liikuntapaikkatyyppi_LiikuntahalliKytkin","Liikuntapaikkatyyppi_UlkoPalloYleisurheilukenttaKytkin","Liikuntapaikkatyyppi_MuuliikuntapaikkaKytkin","Liikuntapaikkatyyppi_MuuliikuntapaikkaTeksti","Liikuntapaikkatyyppi_JaahalliKytkin","Liikuntapaikkatyyppi_LahiliikuntapaikkaKytkin","Liikuntapaikkatyyppi_RantauimalaVenesatamaKytkin","Liikuntapaikkatyyppi_KuntorataValaistuLatuUlkoilureittiKytkin","Liikuntapaikkatyyppi_UimahalliKytkin","Liikuntapaikkatyyppi_LaskettelurinneHyppyrimakiKytkin","Koulut_LukiotLkm","Oppilaat_Lukiot_YhteensaLkm","Koulut_AmmatillisetOppilaitoksetLkm","Oppilaat_AmmatillisetOppilaitokset_YhteensaLkm"
2013,"Normaaliavustus","Valtionavustukset kirjastoille vanha358","Lukuinto nousuun Kihniössä",1419,"KiVa","Kihniö","Pirkanmaa","Kihniön kunnankirjasto","Kihniö",1027,"suomi",2000,,,"Kihniö","kunnat",,,,"Lukemisen edistäminen: kirjailijavierailut, kirjavinkkaus, lukupiirit, satutunnit ym.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013,"Normaaliavustus","Valtionavustukset kirjastoille vanha359","Lukuintoa vinkkauksesta",1140,"KiVa","Parkano","Pirkanmaa","Parkanon kaupunginkirjasto","Parkano",1027,"suomi",3000,,,"Parkano","kunnat",,,,"Lukemisen edistäminen: kirjailijavierailut, kirjavinkkaus, lukupiirit, satutunnit ym.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013,"Normaaliavustus","Valtionavustukset kirjastoille vanha360","Maahanmuuttajat lukemaan!",1012,"KiVa","Tampere","Pirkanmaa","Tampereen kaupunginkirjasto - Pirkanmaan maakuntakirjasto","Tampere",1027,"suomi",18000,,,"Tampere","kunnan- tai kaupunginosat",,,,"Lukemisen edistäminen: kirjailijavierailut, kirjavinkkaus, lukupiirit, satutunnit ym.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013,"Normaaliavustus","Valtionavustukset kirjastoille vanha365","Kirjailijavierailla nostetta kirjaston lukupiireihin",1405,"KiVa","Vaasa","Pohjanmaa","Vaasan kaupunginkirjasto - maakuntakirjasto","Vaasa",1027,"suomi",4000,,,"Vaasa","kunnan- tai kaupunginosat",,,,"Lukemisen edistäminen: kirjailijavierailut, kirjavinkkaus, lukupiirit, satutunnit ym.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013,"Normaaliavustus","Valtionavustukset kirjastoille vanha366","Kirjakamelin matkassa ",1321,"KiVa","Laihia","Pohjanmaa","Laihian kirjasto","Laihia",1027,"suomi",10000,,,"Laihia","kunnat",,,,"Lukemisen edistäminen: kirjailijavierailut, kirjavinkkaus, lukupiirit, satutunnit ym.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013,"Normaaliavustus","Valtionavustukset kirjastoille vanha368","Kirjastosta yleistajuistettua tietoa",1193,"KiVa","Vaasa","Pohjanmaa","Vaasan kaupunginkirjasto - maakuntakirjasto","Vaasa",1027,"suomi",6000,,,"Vaasa","maakunta",,,,"Lukemisen edistäminen: kirjailijavierailut, kirjavinkkaus, lukupiirit, satutunnit ym.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013,"Normaaliavustus","Valtionavustukset kirjastoille vanha369","Koulukirjastokeskus",1541,"KiVa","Vaasa","Pohjanmaa","Vaasan kaupunginkirjasto - maakuntakirjasto","Vaasa",1027,"suomi",20000,,,"Vaasa","maakunta",,,,"Lukemisen edistäminen: kirjailijavierailut, kirjavinkkaus, lukupiirit, satutunnit ym.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013,"Normaaliavustus","Valtionavustukset kirjastoille vanha370","Lasten ja nuorten LittFest / Vaasa LittFest Vasa 2013",7286,"KiVa","Vaasa","Pohjanmaa","Vaasan kaupunginkirjasto - maakuntakirjasto","Vaasa",1027,"suomi",3000,,,"Vaasa","kunnat",,,,"Lukemisen edistäminen: kirjailijavierailut, kirjavinkkaus, lukupiirit, satutunnit ym.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013,"Normaaliavustus","Valtionavustukset kirjastoille vanha371","Olipa kerran... Det var en gång...",1384,"KiVa","Vaasa","Pohjanmaa","Vaasan kaupunginkirjasto - maakuntakirjasto","Vaasa",1027,"suomi",30000,,,"Vaasa","maakunta",,,,"Lukemisen edistäminen: kirjailijavierailut, kirjavinkkaus, lukupiirit, satutunnit ym.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013,"Normaaliavustus","Valtionavustukset kirjastoille vanha373","Elämyksiä kirjastonkäyttäjille",1154,"KiVa","Valtimo","Pohjois-Karjala","Valtimon kunnankirjasto","Valtimo",1024,"suomi",2000,,,"Valtimo","kunnan- tai kaupunginosat",,,,"Lukemisen edistäminen: kirjailijavierailut, kirjavinkkaus, lukupiirit, satutunnit ym.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
