"Vuosi","Erityisavustus","Asian nimi","Hanke","kid","AvustuskokonaisuusKoodi","Kunta","Maakunta","Hakija","ToimiNimi","AviKoodi","Kieli","Myönnetty Avustus","KuvausTeksti","Toteutusalue","HankkeenSijaintikuntaTeksti","VaikutusalueKoodiTeksti","YhteistyotahotTeksti","KohdeRyhma","AsiaSana","TeemaKoodiTeksti","TiivistettyKuvausHankkeestaTeksti","HankkeenKohdistuminen.VarhaiskasvatusJaEsiopetusKytkin","HankkeenKohdistuminen.TyoikaisetAikuisetKytkin","HankkeenKohdistuminen.ElamankulkuKytkin","HankkeenKohdistuminen.MuuKohderyhmaKytkin","HankkeenKohdistuminen.KotouttavaLiikuntaKytkin","HankkeenKohdistuminen.IkaihmisetKytkin","HankkeenKohdistuminen.MuuLastenJaNuortenKohderyhmaKytkin","HankkeenKohdistuminen.SoveltuvaLiikuntaKytkin","HankkeenKohdistuminen.MuuKohderyhmaTeksti","Diaarinumero","KORG_ID","K_01_Kysely_ID","K_01_PAR_ID","Kysely status 2019","K_02_Yhteistiedot_Organisaation_nimi","K_02_Yhteistiedot_Työpajan_nimi","Ytunnus","K_47_valmentautuja_Nuoria_yht","K_47_valmentautuja_yhteensä_yht","K_43_Henk_htv_yhteensä_yht","K_43_Henk_no_yhteensä_yht","KerhotoimintaanOsallistuvatYhteensaLkm","PaivaleiritoimintaanOsallistuvatYhteensaLkm","KerhojenMaaraYhteensaLkm","PaivaleirienMaaraLkm","Liikuntapaikkatyyppi_LiikuntahalliKytkin","Liikuntapaikkatyyppi_UlkoPalloYleisurheilukenttaKytkin","Liikuntapaikkatyyppi_MuuliikuntapaikkaKytkin","Liikuntapaikkatyyppi_MuuliikuntapaikkaTeksti","Liikuntapaikkatyyppi_JaahalliKytkin","Liikuntapaikkatyyppi_LahiliikuntapaikkaKytkin","Liikuntapaikkatyyppi_RantauimalaVenesatamaKytkin","Liikuntapaikkatyyppi_KuntorataValaistuLatuUlkoilureittiKytkin","Liikuntapaikkatyyppi_UimahalliKytkin","Liikuntapaikkatyyppi_LaskettelurinneHyppyrimakiKytkin","Koulut_LukiotLkm","Oppilaat_Lukiot_YhteensaLkm","Koulut_AmmatillisetOppilaitoksetLkm","Oppilaat_AmmatillisetOppilaitokset_YhteensaLkm"
2011,"Normaaliavustus","Valtionavustukset kirjastoille vanha14","Lukki-kirjastojen henkilökunnan osaamisen kehittäminen muutosten keskellä",452,"KiVa","Lohja","Uusimaa","Lohjan kaupunginkirjasto","Lohja",1023,"suomi",20000,,,"Lohja","maakunta",,,,"Kirjastohenkilöstön osaamisen kehittäminen",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011,"Normaaliavustus","Valtionavustukset kirjastoille vanha1","Asiakastietokoneiden päivitys nykyaikaa vastaaviksi",245,"KiVa","Savonlinna","Etelä-Savo","Punkaharjun kirjasto","Savonlinna",1024,"suomi",1900,,,"Savonlinna","kunnat",,,,"Laitehankinnat",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011,"Normaaliavustus","Valtionavustukset kirjastoille vanha5","Lukuelämyksiä kaikelle kansalle",102,"KiVa","Sodankylä","Lappi","Sompion kirjasto","Sodankylä",1028,"suomi",12200,,,"Sodankylä","kunnat",,,,"Lukemisen edistäminen: kirjailijavierailut, kirjavinkkaus, lukupiirit, satutunnit ym.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011,"Normaaliavustus","Valtionavustukset kirjastoille vanha6","Lukulampun valossa -kampanja Rovaniemellä",2614,"KiVa","Rovaniemi","Lappi","Rovaniemen kaupunginkirjasto - Lapin maakuntakirjasto","Rovaniemi",1028,"suomi",4000,,,"Rovaniemi","kunnat",,,,"Lukemisen edistäminen: kirjailijavierailut, kirjavinkkaus, lukupiirit, satutunnit ym.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011,"Normaaliavustus","Valtionavustukset kirjastoille vanha8","Sanataidepaja II",105,"KiVa","Sodankylä","Lappi","Sompion kirjasto","Sodankylä",1028,"suomi",2000,,,"Sodankylä","kunnat",,,,"Lukemisen edistäminen: kirjailijavierailut, kirjavinkkaus, lukupiirit, satutunnit ym.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011,"Normaaliavustus","Valtionavustukset kirjastoille vanha9","Satupiiri",98,"KiVa","Kolari","Lappi","Kolarin kunnankirjasto","Kolari",1028,"suomi",4000,,,"Kolari","kunnat",,,,"Lukemisen edistäminen: kirjailijavierailut, kirjavinkkaus, lukupiirit, satutunnit ym.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011,"Normaaliavustus","Valtionavustukset kirjastoille vanha10","Mistä noita kirjoja oikein tippuu?",617,"KiVa","Valtimo","Pohjois-Karjala","Valtimon kunnankirjasto","Valtimo",1024,"suomi",2200,,,"Valtimo","kunnan- tai kaupunginosat",,,,"Lukemisen edistäminen: kirjailijavierailut, kirjavinkkaus, lukupiirit, satutunnit ym.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011,"Normaaliavustus","Valtionavustukset kirjastoille vanha12","Lukuharrastuksen edistäminen Honkajoella ja Siikaisissa",241,"KiVa","Honkajoki","Satakunta","Honkajoen kunnankirjasto","Honkajoki",1026,"suomi",1900,,,"Honkajoki","kunnat",,,,"Lukemisen edistäminen: kirjailijavierailut, kirjavinkkaus, lukupiirit, satutunnit ym.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011,"Normaaliavustus","Valtionavustukset kirjastoille vanha13","Rapina keskellä kohinaa",338,"KiVa","Kankaanpää","Satakunta","Kankaanpään kaupunginkirjasto","Kankaanpää",1026,"suomi",1000,,,"Kankaanpää","kunnat",,,,"Lukemisen edistäminen: kirjailijavierailut, kirjavinkkaus, lukupiirit, satutunnit ym.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011,"Normaaliavustus","Valtionavustukset kirjastoille vanha15","Eragonin siivellä",388,"KiVa","Nousiainen","Varsinais-Suomi","Nousiaisten kunnankirjasto","Nousiainen",1026,"suomi",2000,,,"Nousiainen","kunnat",,,,"Lukemisen edistäminen: kirjailijavierailut, kirjavinkkaus, lukupiirit, satutunnit ym.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011,"Normaaliavustus","Valtionavustukset kirjastoille vanha16","Kirjastoapinan lukudiplomi ja kirjastonappari",301,"KiVa","Lieto","Varsinais-Suomi","Liedon kunnankirjasto","Lieto",1026,"suomi",4000,,,"Lieto","kunnat",,,,"Lukemisen edistäminen: kirjailijavierailut, kirjavinkkaus, lukupiirit, satutunnit ym.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011,"Normaaliavustus","Valtionavustukset kirjastoille vanha3","Koulukirjaston palvelun kehittämishanke",1541,"KiVa","Posio","Lappi","Posion kunnankirjasto","Posio",1028,"suomi",17600,,,"Posio","kunnat",,,,"Palvelujen kehittäminen",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011,"Normaaliavustus","Valtionavustukset kirjastoille vanha11","Nuori kirjaston kulmilla",294,"KiVa","Haapavesi","Pohjois-Pohjanmaa","Haapaveden kirjasto","Haapavesi",1025,"suomi",34000,,,"Haapavesi","seutukunnat",,,,"Palvelujen kehittäminen",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011,"Normaaliavustus","Valtionavustukset kirjastoille vanha7","Muutoksen tuulet voimavaraksi: YKN:n strategian 2011-2016 jalkauttaminen Lapin kirjastoihin",8143,"KiVa","Kemi","Lappi","Kemin kaupunginkirjasto","Kemi",1028,"suomi",20000,,,"Kemi","maakunta",,,,"Strateginen kehittäminen",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011,"Normaaliavustus","Valtionavustukset kirjastoille vanha2","Fressit tilat - lasten ja nuorten kohtaamispaikka Kittilän kirjastossa",327,"KiVa","Kittilä","Lappi","Kittilän kunnankirjasto","Kittilä",1028,"suomi",28700,,,"Kittilä","kunnat",,,,"Kirjastotilat, tilasuunnittelu, opasteet",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011,"Normaaliavustus","Valtionavustukset kirjastoille vanha4","Lapin yhteinen kirjasto",151,"KiVa","Rovaniemi","Lappi","Rovaniemen kaupunginkirjasto - Lapin maakuntakirjasto","Rovaniemi",1028,"suomi",108000,,,"Rovaniemi","maakunta",,,,"Verkkopalvelut ja tietojärjestelmät",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012,"Normaaliavustus","Valtionavustukset kirjastoille vanha52","Digitoinnista iloa asiakkaille, hyötyä kotiseutukokoelmaan",335,"KiVa","Mäntyharju","Etelä-Savo","Mäntyharjun kunnankirjasto","Mäntyharju",1024,"suomi",5000,,,"Mäntyharju","seutukunnat",,,,"Digitointi",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012,"Normaaliavustus","Valtionavustukset kirjastoille vanha65","Editointitila ja kiertävät laitteet",6158,"KiVa","Forssa","Kanta-Häme","Forssan kaupunginkirjasto","Forssa",1023,"suomi",5000,,,"Forssa","kunnat",,,,"Digitointi",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012,"Normaaliavustus","Valtionavustukset kirjastoille vanha73","Kokkolalaiset VHS -aarteet jälkipolville",534,"KiVa","Kokkola","Keski-Pohjanmaa","Kokkolan kaupunginkirjasto - maakuntakirjasto","Kokkola",1027,"suomi",5000,,,"Kokkola","maakunta",,,,"Digitointi",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012,"Normaaliavustus","Valtionavustukset kirjastoille vanha99","Aineistot talteen ja käyttöön - digitointipiste Ranuan kirjastolle",1013,"KiVa","Ranua","Lappi","Ranuan kunnankirjasto","Ranua",1028,"suomi",11720,,,"Ranua","kunnat",,,,"Digitointi",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012,"Normaaliavustus","Valtionavustukset kirjastoille vanha120","Kotiseutukokoelman digitoinnin kartoitustyö",482,"KiVa","Nokia","Pirkanmaa","Nokian kaupunginkirjasto","Nokia",1027,"suomi",5000,,,"Nokia","valtakunnallinen",,,,"Digitointi",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012,"Normaaliavustus","Valtionavustukset kirjastoille vanha143","Matelin maisemissa, Simanan sisikunnassa, laulajan lakin päällä. Jatkohanke vuosille 2012-2013",357,"KiVa","Ilomantsi","Pohjois-Karjala","Ilomantsin kunnankirjasto","Ilomantsi",1024,"suomi",8000,,,"Ilomantsi","maakunta",,,,"Digitointi",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012,"Normaaliavustus","Valtionavustukset kirjastoille vanha167","Digitointilan perustaminen",572,"KiVa","Kuopio","Pohjois-Savo","Nilsiän kirjasto","Kuopio",1024,"suomi",3500,,,"Kuopio","maakunta",,,,"Digitointi",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012,"Normaaliavustus","Valtionavustukset kirjastoille vanha176","Minna Canth -arkistoaineiston digitointi",265,"KiVa","Kuopio","Pohjois-Savo","Kuopion kaupunginkirjasto - Pohjois-Savon maakuntakirjasto","Kuopio",1024,"suomi",50000,,,"Kuopio","kansainvälinen",,,,"Digitointi",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012,"Normaaliavustus","Valtionavustukset kirjastoille vanha185","Digitointi kirjaston uutena palveluna Huittisissa",754,"KiVa","Huittinen","Satakunta","Huittisten kaupunginkirjasto","Huittinen",1026,"suomi",4500,,,"Huittinen","kunnan- tai kaupunginosat",,,,"Digitointi",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012,"Normaaliavustus","Valtionavustukset kirjastoille vanha200","Borgå Gymnasiumin museokirjaston ja Porneesin lainakirjaston aineistojen digitointi",320,"KiVa","Porvoo","Uusimaa","Porvoon kaupunginkirjasto - Uudenmaan maakuntakirjasto","Porvoo",1023,"suomi",35000,,,"Porvoo","kansainvälinen",,,,"Digitointi",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012,"Normaaliavustus","Valtionavustukset kirjastoille vanha201","Digitointihuone ja liikkuva digitointipiste kirjaston asiakkaille",1431,"KiVa","Porvoo","Uusimaa","Porvoon kaupunginkirjasto - Uudenmaan maakuntakirjasto","Porvoo",1023,"suomi",4400,,,"Porvoo","maakunta",,,,"Digitointi",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012,"Normaaliavustus","Valtionavustukset kirjastoille vanha202","Editointiprojekti Lukas-alueen kirjastoissa",6158,"KiVa","Hanko","Uusimaa","Hangon kaupunginkirjasto - Hangö stadsbibliotek","Hanko",1023,"suomi",21000,,,"Hanko","maakunta",,,,"Digitointi",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012,"Normaaliavustus","Valtionavustukset kirjastoille vanha112","Digitointi- ja editointimahdollisuus Pälkäneen pääkirjastossa",335,"KiVa","Pälkäne","Pirkanmaa","Pälkäneen kunnankirjasto","Pälkäne",1027,"suomi",5000,,,"Pälkäne","kunnat",,,,"Kirjastohenkilöstön osaamisen kehittäminen",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012,"Normaaliavustus","Valtionavustukset kirjastoille vanha158","Muutoskoulutus uuden Oulun henkilökunnalle",428,"KiVa","Oulu","Pohjois-Pohjanmaa","Oulun kaupunginkirjasto-maakuntakirjasto","Oulu",1025,"suomi",34000,,,"Oulu","kunnat",,,,"Kirjastohenkilöstön osaamisen kehittäminen",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012,"Normaaliavustus","Valtionavustukset kirjastoille vanha178","Verkkopuikkari jatkuu : sähköisen asioinnin tukeminen ",318,"KiVa","Varkaus","Pohjois-Savo","Varkauden kaupunginkirjasto","Varkaus",1024,"suomi",9000,,,"Varkaus","kunnat",,,,"Kirjastohenkilöstön osaamisen kehittäminen",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012,"Normaaliavustus","Valtionavustukset kirjastoille vanha181","Multimedian luonti hallintaan",715,"KiVa","Lahti","Päijät-Häme","Lahden kaupunginkirjasto-maakuntakirjasto","Lahti",1023,"suomi",50000,,,"Lahti","kunnat",,,,"Kirjastohenkilöstön osaamisen kehittäminen",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012,"Normaaliavustus","Valtionavustukset kirjastoille vanha248","Tarinatornado - lasten ja nuorten aineistoseminaari",325,"KiVa","Raisio","Varsinais-Suomi","Raision kaupunginkirjasto","Raisio",1026,"suomi",10000,,,"Raisio","maakunta",,,,"Kirjastohenkilöstön osaamisen kehittäminen",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012,"Normaaliavustus","Valtionavustukset kirjastoille vanha59","Mikkelin kaupunginkirjaston kokoelmapolitiikka",644,"KiVa","Mikkeli","Etelä-Savo","Mikkelin kaupunginkirjasto - Etelä-Savon maakuntakirjasto","Mikkeli",1024,"suomi",8600,,,"Mikkeli","kunnat",,,,"Kokoelmien kehittäminen, e-aineistot",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012,"Normaaliavustus","Valtionavustukset kirjastoille vanha66","Forssan museon kirjakokoelma näkyväksi",327,"KiVa","Forssa","Kanta-Häme","Forssan kaupunginkirjasto","Forssa",1023,"suomi",12000,,,"Forssa","seutukunnat",,,,"Kokoelmien kehittäminen, e-aineistot",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012,"Normaaliavustus","Valtionavustukset kirjastoille vanha198","Audiovisuaalisen sisällöntuotannon laajennusprojekti",478,"KiVa","Vantaa","Uusimaa","Vantaan kirjasto- ja tietopalvelut","Vantaa",1023,"suomi",16000,,,"Vantaa","kunnat",,,,"Kokoelmien kehittäminen, e-aineistot",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012,"Normaaliavustus","Valtionavustukset kirjastoille vanha19","Förnyande av teknisk utrustning på Pedersöre kommunbibliotek",6306,"KiVa","Pedersören kunta","Pohjanmaa","Pedersöre kommunbibliotek","Pedersören kunta",1027,"ruotsi",15000,,,"Pedersören kunta","kunnat",,,,"Laitehankinnat",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012,"Normaaliavustus","Valtionavustukset kirjastoille vanha24","Vi profilerar oss!",174,"KiVa","Raasepori","Uusimaa","Raseborgs stadsbibliotek","Raasepori",1023,"ruotsi",3000,,,"Raasepori","kunnat",,,,"Laitehankinnat",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012,"Normaaliavustus","Valtionavustukset kirjastoille vanha26","Datorer för sökning i bibliotekskatalogen",519,"KiVa","Kemiönsaari","Varsinais-Suomi","Kimitoöns kommunbibliotek","Kemiönsaari",1026,"ruotsi",2400,,,"Kemiönsaari","kunnan- tai kaupunginosat",,,,"Laitehankinnat",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012,"Normaaliavustus","Valtionavustukset kirjastoille vanha31","Kirjastopalvelujen käytön parantaminen Taavetin kirjastossa",556,"KiVa","Luumäki","Etelä-Karjala","Luumäen kunnankirjasto","Luumäki",1023,"suomi",1000,,,"Luumäki","kunnan- tai kaupunginosat",,,,"Laitehankinnat",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012,"Normaaliavustus","Valtionavustukset kirjastoille vanha35","Dataprojektorilla kerralla isommalle yleisölle",346,"KiVa","Teuva","Etelä-Pohjanmaa","Teuvan kunnankirjasto","Teuva",1027,"suomi",1500,,,"Teuva","kunnan- tai kaupunginosat",,,,"Laitehankinnat",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012,"Normaaliavustus","Valtionavustukset kirjastoille vanha36","E-nälli - tiedä, taida verkossa",1124,"KiVa","Kurikka","Etelä-Pohjanmaa","Kurikan kaupunginkirjasto","Kurikka",1027,"suomi",10000,,,"Kurikka","kunnat",,,,"Laitehankinnat",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012,"Normaaliavustus","Valtionavustukset kirjastoille vanha39","Kirjaston esittelyn ja käytönohjauksen apuvälineet",602,"KiVa","Ähtäri","Etelä-Pohjanmaa","Ähtärin kaupunginkirjasto","Ähtäri",1027,"suomi",3000,,,"Ähtäri","kunnat",,,,"Laitehankinnat",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012,"Normaaliavustus","Valtionavustukset kirjastoille vanha41","Laitteiston nykyaikaistaminen",271,"KiVa","Isojoki","Etelä-Pohjanmaa","Isojoen kunnankirjasto","Isojoki",1027,"suomi",1000,,,"Isojoki","kunnat",,,,"Laitehankinnat",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012,"Normaaliavustus","Valtionavustukset kirjastoille vanha47","Pelikonsolin ja uusien pelien hankinta",512,"KiVa","Karijoki","Etelä-Pohjanmaa","Karijoen kunnankirjasto","Karijoki",1027,"suomi",800,,,"Karijoki","kunnat",,,,"Laitehankinnat",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012,"Normaaliavustus","Valtionavustukset kirjastoille vanha70","Uusien asiakaspäätteiden hankkiminen Janakkalan kirjastoon.",860,"KiVa","Janakkala","Kanta-Häme","Janakkalan kirjasto","Janakkala",1023,"suomi",4000,,,"Janakkala","kunnat",,,,"Laitehankinnat",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012,"Normaaliavustus","Valtionavustukset kirjastoille vanha82","Lähikirjastojen työasemat",243,"KiVa","Jämsä","Keski-Suomi","Jämsän kaupunginkirjasto","Jämsä",1027,"suomi",4000,,,"Jämsä","kunnan- tai kaupunginosat",,,,"Laitehankinnat",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012,"Normaaliavustus","Valtionavustukset kirjastoille vanha84","Oppia ja iloa laitehankinnoilla",825,"KiVa","Viitasaari","Keski-Suomi","Viitasaaren ja Pihtiputaan kirjastot","Viitasaari",1027,"suomi",4000,,,"Viitasaari","seutukunnat",,,,"Laitehankinnat",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012,"Normaaliavustus","Valtionavustukset kirjastoille vanha108","Nopeasti ja langattomasti nettiin",317,"KiVa","Tervola","Lappi","Tervolan kunnankirjasto","Tervola",1028,"suomi",4600,,,"Tervola","kunnat",,,,"Laitehankinnat",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012,"Normaaliavustus","Valtionavustukset kirjastoille vanha109","Palvelu pelaa, asiakas osaa",502,"KiVa","Sodankylä","Lappi","Sompion kirjasto","Sodankylä",1028,"suomi",60000,,,"Sodankylä","kunnat",,,,"Laitehankinnat",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012,"Normaaliavustus","Valtionavustukset kirjastoille vanha110","Tornionlaakson kirjastoautoon uutta teknologiaa",975,"KiVa","Ylitornio","Lappi","Tornionlaakson kirjasto","Ylitornio",1028,"suomi",5000,,,"Ylitornio","seutukunnat",,,,"Laitehankinnat",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012,"Normaaliavustus","Valtionavustukset kirjastoille vanha113","Digitointilaitteet uuteen pääkirjastoon",764,"KiVa","Kangasala","Pirkanmaa","Kangasalan kunnankirjasto","Kangasala",1027,"suomi",5000,,,"Kangasala","kunnat",,,,"Laitehankinnat",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012,"Normaaliavustus","Valtionavustukset kirjastoille vanha118","Kirjaston kasvot kirkastuvat",673,"KiVa","Orivesi","Pirkanmaa","Oriveden kaupunginkirjasto ","Orivesi",1027,"suomi",7000,,,"Orivesi","kunnat",,,,"Laitehankinnat",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012,"Normaaliavustus","Valtionavustukset kirjastoille vanha123","Mediakasvatusta vauvasta vaariin",562,"KiVa","Parkano","Pirkanmaa","Parkanon kaupunginkirjasto","Parkano",1027,"suomi",7000,,,"Parkano","kunnan- tai kaupunginosat",,,,"Laitehankinnat",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012,"Normaaliavustus","Valtionavustukset kirjastoille vanha135","Tarinoiden talosta kuntalaisten olohuone",855,"KiVa","Laihia","Pohjanmaa","Laihian kirjasto","Laihia",1027,"suomi",3000,,,"Laihia","kunnat",,,,"Laitehankinnat",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012,"Normaaliavustus","Valtionavustukset kirjastoille vanha137","Avoimien ovien kirjasto",704,"KiVa","Tohmajärvi","Pohjois-Karjala","Tohmajärven kunnankirjasto","Tohmajärvi",1024,"suomi",4000,,,"Tohmajärvi","kunnat",,,,"Laitehankinnat",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012,"Normaaliavustus","Valtionavustukset kirjastoille vanha146","Talteen! - Digitointipaikka kirjastoon",352,"KiVa","Lieksa","Pohjois-Karjala","Lieksan kaupunginkirjasto","Lieksa",1024,"suomi",5000,,,"Lieksa","kunnan- tai kaupunginosat",,,,"Laitehankinnat",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012,"Normaaliavustus","Valtionavustukset kirjastoille vanha149","Internet ihmisten iloksi ja hyödyksi",256,"KiVa","Kärsämäki","Pohjois-Pohjanmaa","Kärsämäen kirjasto","Kärsämäki",1025,"suomi",3800,,,"Kärsämäki","kunnat",,,,"Laitehankinnat",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012,"Normaaliavustus","Valtionavustukset kirjastoille vanha162","Sähköisten aineistojen lukulaitteet ajantasaisiksi",561,"KiVa","Kalajoki","Pohjois-Pohjanmaa","Kalajoen kaupunginkirjasto","Kalajoki",1025,"suomi",1800,,,"Kalajoki","kunnat",,,,"Laitehankinnat",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012,"Normaaliavustus","Valtionavustukset kirjastoille vanha166","Viihtyisyyttä ja asiakaspäätteiden ajantasaistamista",233,"KiVa","Pyhäntä","Pohjois-Pohjanmaa","Pyhännän kunnankirjasto","Pyhäntä",1025,"suomi",2500,,,"Pyhäntä","kunnat",,,,"Laitehankinnat",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012,"Normaaliavustus","Valtionavustukset kirjastoille vanha168","Elämysten kirjasto",448,"KiVa","Keitele","Pohjois-Savo","Keiteleen kunnankirjasto","Keitele",1024,"suomi",2200,,,"Keitele","kunnat",,,,"Laitehankinnat",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012,"Normaaliavustus","Valtionavustukset kirjastoille vanha182","Tekniikkaa kirjastoon, aikaa asiakkaille",516,"KiVa","Asikkala","Päijät-Häme","Asikkalan kirjasto","Asikkala",1023,"suomi",4000,,,"Asikkala","seutukunnat",,,,"Laitehankinnat",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012,"Normaaliavustus","Valtionavustukset kirjastoille vanha184","Digitoi aarteesi!",747,"KiVa","Pori","Satakunta","Porin kaupunginkirjasto - Satakunnan maakuntakirjasto","Pori",1026,"suomi",4500,,,"Pori","maakunta",,,,"Laitehankinnat",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012,"Normaaliavustus","Valtionavustukset kirjastoille vanha193","Pieni on kaunista",345,"KiVa","Siikainen","Satakunta","Siikaisten kunnankirjasto","Siikainen",1026,"suomi",2600,,,"Siikainen","kunnat",,,,"Laitehankinnat",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012,"Normaaliavustus","Valtionavustukset kirjastoille vanha196","Uusilla laitteilla tehokkuutta ja monimuotoisuutta kirjaston oheistoimintaan",860,"KiVa","Harjavalta","Satakunta","Harjavallan kaupunginkirjasto","Harjavalta",1026,"suomi",3200,,,"Harjavalta","kunnan- tai kaupunginosat",,,,"Laitehankinnat",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012,"Normaaliavustus","Valtionavustukset kirjastoille vanha223","Mediakasvatuksen ja kirjastonkäytön opetuksen tueksi tarvittavat laitteet",163,"KiVa","Myrskylä","Uusimaa","Myrskylän kirjasto","Myrskylä",1023,"suomi",2000,,,"Myrskylä","kunnat",,,,"Laitehankinnat",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012,"Normaaliavustus","Valtionavustukset kirjastoille vanha237","Ajanmukaisten tietokoneiden hankkiminen asiakaskäyttöön",606,"KiVa","Tarvasjoki","Varsinais-Suomi","Tarvasjoen kirjasto","Tarvasjoki",1026,"suomi",1000,,,"Tarvasjoki","kunnat",,,,"Laitehankinnat",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
