ProjectCode,ProjectTitle,ActionTypeDescription,ActionType,CallYear,PIC,Accreditation Type,NameInLatinCharacterSet,OrganisationType,City,CountryRegionDescription,DurationInMonths,ProjectStartDate,ProjectEndDate,Initial awarded grant(IAG),Topic Code,Topic Name,Horizontal Priority Name,City_korjattu
2023-2-FI01-KA210-SCH-000179601,Living in two worlds,Small-scale partnerships in school education,KA210-SCH,2023,E10069695,,Kirkkojärven koulu,School/Institute/Educational centre – General education (basic education),Espoo,Helsinki-Uusimaa,6,1.1.2024,30.6.2024,30000,TOPIC-165_TOPIC-181_TOPIC-192,"Inclusion, promoting equality and non-discrimination_Digital safety_Prevention of bullying","Common values, civic engagement and participation",
2023-2-FI01-KA210-SCH-000177764,Happy to be me!,Small-scale partnerships in school education,KA210-SCH,2023,E10050631,,Kirkkomännikön koulu,School/Institute/Educational centre – General education (basic education),Alavus,Etelä-Pohjanmaa,18,1.1.2024,30.6.2025,60000,TOPIC-161_TOPIC-165_TOPIC-189,"Creativity, arts and culture_Inclusion, promoting equality and non-discrimination_Soft skills","Common values, civic engagement and participation",
2023-2-FI01-KA210-SCH-000171405,Information or fake news? Survival guide for a responsible European citizen,Small-scale partnerships in school education,KA210-SCH,2023,E10066802,,Oulunkylän yhteiskoulu,School/Institute/Educational centre – General education (secondary level),Helsinki,Helsinki-Uusimaa,24,1.1.2024,31.12.2025,60000,TOPIC-162_TOPIC-189_TOPIC-35,Media literacy and tackling disinformation _Soft skills_Teaching and learning of foreign languages,"Addressing digital transformation through development of digital readiness, resilience and capacity",
2023-2-FI01-KA210-SCH-000169913,Raising Kidpreneurs of The Future,Small-scale partnerships in school education,KA210-SCH,2023,E10034254,,"Vasa stad, Borgaregatans skola",School/Institute/Educational centre – General education (basic education),Vaasa,Pohjanmaa,14,1.4.2024,31.5.2025,60000,TOPIC-158_TOPIC-41_TOPIC-83,"Social innovation_Entrepreneurial learning - entrepreneurship education_European identity, citizenship and values",#PUUTTUU!,
2023-2-FI01-KA210-ADU-000179217,Adult educators supporting eco-social agency,Small-scale partnerships  in adult education,KA210-ADU,2023,E10188010,,Kansan Sivistystyön Liitto KSL ry,Non-governmental organisation/association,Helsinki,Helsinki-Uusimaa,12,1.2.2024,31.1.2025,60000,TOPIC-25_TOPIC-61_TOPIC-97,Pedagogy and didactics_Green skills_New learning and teaching methods and approaches,"Common values, civic engagement and participation",
2023-2-FI01-KA210-ADU-000178964,Suomi Italia Nourishing Generations,Small-scale partnerships  in adult education,KA210-ADU,2023,E10338500,,Jyväskylän naislaulajat ry,Non-governmental organisation/association,Jyväskylä,Keski-Suomi,18,1.4.2024,30.9.2025,60000,TOPIC-161_TOPIC-190_TOPIC-83,"Creativity, arts and culture_Digital content, technologies and practices_European identity, citizenship and values",#PUUTTUU!,
2023-2-FI01-KA210-ADU-000173745,CraftWell: Empowering Seniors Through Craft Therapy,Small-scale partnerships  in adult education,KA210-ADU,2023,E10283536,,Keski-Suomen muotoilu- ja taideteollisuusyhdistys Materia ry,Non-governmental organisation/association,Jyväskylä,Keski-Suomi,24,1.1.2024,31.12.2025,60000,TOPIC-161_TOPIC-185_TOPIC-61,"Creativity, arts and culture_Active ageing_Green skills","Inclusion and diversity in all fields of education, training, youth and sport",
2023-2-FI01-KA155-YOU-000183769,Let's GO,DiscoverEU inclusion action,KA155-YOU,2023,E10063282,,Kanava Nuoriso ry,Non-governmental organisation/association,Helsinki,Helsinki-Uusimaa,12,1.3.2024,28.2.2025,10280,#NIMI?,#NIMI?,#PUUTTUU!,
2023-2-FI01-KA155-YOU-000177360,Starting adult life with something great - Kalajoki DiscoverEU Inclusion 2023-2024,DiscoverEU inclusion action,KA155-YOU,2023,E10143569,,Kalajoen kaupunki,Local Public body,Kalajoki,Pohjois-Pohjanmaa,10,1.3.2024,31.12.2024,22492,#NIMI?,#NIMI?,#PUUTTUU!,
2023-2-FI01-KA154-YOU-000167958,Mun valinta vaikuttaa – Mielenterveys ja yhdenvertaisuus nuorten elämässä,Youth participation activities,KA154-YOU,2023,E10333586,,"Taksvärkki ry, Dagsverke rf",Non-governmental organisation/association,Helsinki,Helsinki-Uusimaa,24,1.8.2023,31.7.2025,59860,TOPIC-122_TOPIC-160_TOPIC-180,"Inclusion  of marginalised young people_Democracy and inclusive democratic participation_Physical and mental health, well-being",#PUUTTUU!,
2023-2-FI01-KA154-YOU-000167775,Nuorten vaikuttajasimulaatio,Youth participation activities,KA154-YOU,2023,E10255487,,Suomen nuorisovaltuustojen liitto,Non-governmental organisation/association,Helsinki,Helsinki-Uusimaa,24,1.8.2023,31.7.2025,58428,TOPIC-160_TOPIC-162,Democracy and inclusive democratic participation_Media literacy and tackling disinformation ,#PUUTTUU!,
2023-2-FI01-KA153-YOU-000168663,"Peacebuilding skills for Youth Workers to prevent discrimination and to build more equal, inclusive and diverse communities.",Mobility of youth workers,KA153-YOU,2023,E10110188,,Outward Bound Finland ry,Non-governmental organisation/association,Lahti,Päijät-Häme,12,1.8.2023,31.7.2024,35320,TOPIC-102_TOPIC-132_TOPIC-179,"Bridging intercultural, intergenerational and social divide_Preventing racism and discrimination_Prevention of conflicts, post-conflict rehabilitation",#PUUTTUU!,
2023-2-FI01-KA153-YOU-000168242,Resourcing Change!,Mobility of youth workers,KA153-YOU,2023,E10282175,,HangFlow ry,Non-governmental organisation/association,Turku,Varsinais-Suomi,6,1.11.2023,30.4.2024,35710,TOPIC-122_TOPIC-180_TOPIC-97,"Inclusion  of marginalised young people_Physical and mental health, well-being_New learning and teaching methods and approaches",#PUUTTUU!,
2023-2-FI01-KA153-YOU-000168059,Kansainvälisiä kokemuksia ja oppimista Etelä-Karjalan nuorisotyöntekijöille,Mobility of youth workers,KA153-YOU,2023,E10193541,,LAPPEENRANNAN KAUPUNKI,Local Public body,Lappeenranta,Etelä-Karjala,7,1.8.2023,29.2.2024,19255,TOPIC-136_TOPIC-184_TOPIC-187,Quality and innovation of youth work_Tackling geographical remoteness and involving rural areas_International relations and development cooperation,#PUUTTUU!,
2023-2-FI01-KA153-YOU-000168010,EuroTraining,Mobility of youth workers,KA153-YOU,2023,E10007150,,Lasten ja nuorten keskus ry ,Non-governmental organisation/association,Helsinki,Helsinki-Uusimaa,3,5.9.2023,4.12.2023,41625,TOPIC-116_TOPIC-136_TOPIC-191,Digital youth work_Quality and innovation of youth work_Development of training courses,#PUUTTUU!,
2023-2-FI01-KA152-YOU-000168591,Healthy Lifestyles,Mobility  of young people,KA152-YOU,2023,E10180182,,Nuoriso- ja luontomatkailukeskus Inari Oy,Small and medium sized enterprise,Inari,Lappi,18,1.8.2023,31.1.2025,125880,TOPIC-161_TOPIC-180_TOPIC-184,"Creativity, arts and culture_Physical and mental health, well-being_Tackling geographical remoteness and involving rural areas",#PUUTTUU!,
2023-2-FI01-KA152-YOU-000168575,Moose Party 3,Mobility  of young people,KA152-YOU,2023,E10013565,,Vanhamäki säätiö,Foundation,Suonenjoki,Pohjois-Savo,12,1.8.2023,31.7.2024,26310,TOPIC-161_TOPIC-187_TOPIC-61,"Creativity, arts and culture_International relations and development cooperation_Green skills",#PUUTTUU!,
2023-2-FI01-KA152-YOU-000168434,"Northern Lights, Finnish Nights",Mobility  of young people,KA152-YOU,2023,E10083279,,Nykarleby stad,Local Public body,Uusikaarlepyy,Pohjanmaa,8,1.10.2023,31.5.2024,34032,TOPIC-13_TOPIC-180_TOPIC-70,"Environment and climate change_Physical and mental health, well-being_Cultural heritage",#PUUTTUU!,
