ProjectCode,ProjectTitle,ActionTypeDescription,ActionType,CallYear,PIC,Accreditation Type,NameInLatinCharacterSet,OrganisationType,City,CountryRegionDescription,DurationInMonths,ProjectStartDate,ProjectEndDate,Initial awarded grant(IAG),Topic Code,Topic Name,Horizontal Priority Name,City_korjattu
2023-1-FI01-KA151-YOU-000138893,,Accredited projects for youth mobility,KA151-YOU,2023,E10060776,,Helsingin nuorten miesten kristillinen yhdistys ry,Non-governmental organisation/association,Helsinki,Helsinki-Uusimaa,15,1.6.2023,31.8.2024,171480,#NIMI?,#NIMI?,#PUUTTUU!,
2023-1-FI01-KA151-YOU-000138516,,Accredited projects for youth mobility,KA151-YOU,2023,E10018837,,Nuorisokeskus Villa Elba Oy,Small and medium sized enterprise,Kokkola,Keski-Pohjanmaa,15,1.6.2023,31.8.2024,205061,#NIMI?,#NIMI?,#PUUTTUU!,
2023-1-FI01-KA151-YOU-000136485,,Accredited projects for youth mobility,KA151-YOU,2023,E10188028,,Virtain kaupunki,Local Public body,Virrat,Pirkanmaa,15,1.6.2023,31.8.2024,195898,#NIMI?,#NIMI?,#PUUTTUU!,
2023-1-FI01-KA151-YOU-000136364,,Accredited projects for youth mobility,KA151-YOU,2023,E10107927,,Suomen nuorisoalan kattojärjestö Allianssi ry,Non-governmental organisation/association,Helsinki,Helsinki-Uusimaa,15,1.6.2023,31.8.2024,113060,#NIMI?,#NIMI?,#PUUTTUU!,
2023-1-FI01-KA151-YOU-000135622,,Accredited projects for youth mobility,KA151-YOU,2023,E10118765,,Suomen Nuorisoseurat ry,Non-governmental organisation/association,Vantaa,Helsinki-Uusimaa,15,1.6.2023,31.8.2024,174414,#NIMI?,#NIMI?,#PUUTTUU!,
2023-1-FI01-KA151-YOU-000135154,,Accredited projects for youth mobility,KA151-YOU,2023,E10264380,,Järvenpään kaupunki,Local Public body,Järvenpää,Helsinki-Uusimaa,15,1.6.2023,31.8.2024,35289,#NIMI?,#NIMI?,#PUUTTUU!,
2023-1-FI01-KA151-YOU-000132904,,Accredited projects for youth mobility,KA151-YOU,2023,E10058334,,"Rauhankasvatusinstituutti ry, Institutet för Fredsfostran rf",Non-governmental organisation/association,Helsinki,Helsinki-Uusimaa,15,1.6.2023,31.8.2024,131610,#NIMI?,#NIMI?,#PUUTTUU!,
2023-1-FI01-KA151-YOU-000131294,,Accredited projects for youth mobility,KA151-YOU,2023,E10188805,,Pargas stad,Local Public body,Parainen,Varsinais-Suomi,15,1.6.2023,31.8.2024,54370,#NIMI?,#NIMI?,#PUUTTUU!,
2023-1-FI01-KA151-YOU-000131188,,Accredited projects for youth mobility,KA151-YOU,2023,E10287242,,Turun NMKY ry,Non-governmental organisation/association,Turku,Varsinais-Suomi,15,1.6.2023,31.8.2024,43698,#NIMI?,#NIMI?,#PUUTTUU!,
2023-1-FI01-KA151-YOU-000130525,,Accredited projects for youth mobility,KA151-YOU,2023,E10056822,,Nuorten Ystävät ry,Non-governmental organisation/association,Oulu,Pohjois-Pohjanmaa,15,1.6.2023,31.8.2024,61550,#NIMI?,#NIMI?,#PUUTTUU!,
2023-1-FI01-KA151-YOU-000129403,,Accredited projects for youth mobility,KA151-YOU,2023,E10165950,,Nuoriso- ja matkailukeskus Hyvärilä Oy,Small and medium sized enterprise,Nurmes,Pohjois-Karjala,15,1.6.2023,31.8.2024,115912,#NIMI?,#NIMI?,#PUUTTUU!,
2023-1-FI01-KA151-YOU-000125656,,Accredited projects for youth mobility,KA151-YOU,2023,E10117172,,Espoon kaupunki,Local Public body,Espoo,Helsinki-Uusimaa,15,1.6.2023,31.8.2024,129940,#NIMI?,#NIMI?,#PUUTTUU!,
2023-1-FI01-KA151-YOU-000125266,,Accredited projects for youth mobility,KA151-YOU,2023,E10116500,,Nuorisokeskus Metsäkartano,Foundation,Rautavaara,Pohjois-Savo,15,1.6.2023,31.8.2024,184198,#NIMI?,#NIMI?,#PUUTTUU!,
2023-1-FI01-KA151-YOU-000120630,,Accredited projects for youth mobility,KA151-YOU,2023,E10170237,,Nuorisokeskus Piispala,Small and medium sized enterprise,Kannonkoski,Keski-Suomi,15,1.6.2023,31.8.2024,170690,#NIMI?,#NIMI?,#PUUTTUU!,
2023-1-FI01-KA151-YOU-000118949,,Accredited projects for youth mobility,KA151-YOU,2023,E10072636,,"Jyväskylän kaupunki, nuorisopalvelut",Local Public body,Jyväskylä,Keski-Suomi,15,1.6.2023,31.8.2024,69372,#NIMI?,#NIMI?,#PUUTTUU!,
2023-1-FI01-KA151-YOU-000117974,,Accredited projects for youth mobility,KA151-YOU,2023,E10122578,,Avartti-säätiö,Foundation,Helsinki,Helsinki-Uusimaa,15,1.6.2023,31.8.2024,47760,#NIMI?,#NIMI?,#PUUTTUU!,
2023-1-FI01-KA151-YOU-000117834,,Accredited projects for youth mobility,KA151-YOU,2023,E10193443,,SKUNK- skärgårdsungdomarnas intresseorganisation,Non-governmental organisation/association,Kumlinge,Åland,15,1.6.2023,31.8.2024,20574,#NIMI?,#NIMI?,#PUUTTUU!,
2023-1-FI01-KA131-HED-000138590,,Mobility of higher education students and staff supported by internal policy funds,KA131-HED,2023,E10178621,,POLIISIAMMATTIKORKEAKOULU,Higher education institution (tertiary level),Tampere,Pirkanmaa,26,1.6.2023,31.7.2025,24265,#NIMI?,#NIMI?,#PUUTTUU!,
2023-1-FI01-KA131-HED-000137997,,Mobility of higher education students and staff supported by internal policy funds,KA131-HED,2023,E10161276,,OY VAASAN AMMATTIKORKEAKOULU - VASA YRKESHÖGSKOLA AB,Higher education institution (tertiary level),Vaasa,Pohjanmaa,26,1.6.2023,31.7.2025,148835,#NIMI?,#NIMI?,#PUUTTUU!,
2023-1-FI01-KA131-HED-000136097,,Mobility of higher education students and staff supported by internal policy funds,KA131-HED,2023,E10190230,,JYVÄSKYLÄN AMMATTIKORKEAKOULU,Higher education institution (tertiary level),Jyväskylä,Keski-Suomi,26,1.6.2023,31.7.2025,417300,#NIMI?,#NIMI?,#PUUTTUU!,
2023-1-FI01-KA131-HED-000135130,,Mobility of higher education students and staff supported by internal policy funds,KA131-HED,2023,E10144009,,SUOMEN HUMANISTINEN AMMATTIKORKEAKOULU OY HUMAK,Higher education institution (tertiary level),Helsinki,Helsinki-Uusimaa,26,1.6.2023,31.7.2025,251785,#NIMI?,#NIMI?,#PUUTTUU!,
2023-1-FI01-KA131-HED-000134394,,Mobility of higher education students and staff supported by internal policy funds,KA131-HED,2023,E10207996,,LAPPEENRANNAN-LAHDEN TEKNILLINEN YLIOPISTO LUT,Higher education institution (tertiary level),Lappeenranta,Etelä-Karjala,26,1.6.2023,31.7.2025,413635,#NIMI?,#NIMI?,#PUUTTUU!,
2023-1-FI01-KA131-HED-000133798,,Mobility of higher education students and staff supported by internal policy funds,KA131-HED,2023,E10165740,,SAVONIA-AMMATTIKORKEAKOULU OY,Higher education institution (tertiary level),Kuopio,Pohjois-Savo,26,1.6.2023,31.7.2025,352485,#NIMI?,#NIMI?,#PUUTTUU!,
2023-1-FI01-KA131-HED-000133510,,Mobility of higher education students and staff supported by internal policy funds,KA131-HED,2023,E10208640,,JYVÄSKYLÄN YLIOPISTO,Higher education institution (tertiary level),Jyväskylä,Keski-Suomi,26,1.6.2023,31.7.2025,996710,#NIMI?,#NIMI?,#PUUTTUU!,
2023-1-FI01-KA131-HED-000130963,,Mobility of higher education students and staff supported by internal policy funds,KA131-HED,2023,E10192028,,CENTRIA AMMATTIKORKEAKOULU OY,Higher education institution (tertiary level),Kokkola,Keski-Pohjanmaa,26,1.6.2023,31.7.2025,342395,#NIMI?,#NIMI?,#PUUTTUU!,
2023-1-FI01-KA131-HED-000130954,,Mobility of higher education students and staff supported by internal policy funds,KA131-HED,2023,E10138638,,KARELIA AMMATTIKORKEAKOULU OY,Higher education institution (tertiary level),Joensuu,Pohjois-Karjala,26,1.6.2023,31.7.2025,335390,#NIMI?,#NIMI?,#PUUTTUU!,
2023-1-FI01-KA131-HED-000130455,,Mobility of higher education students and staff supported by internal policy funds,KA131-HED,2023,E10082601,,LAB AMMATTIKORKEAKOULU OY,Higher education institution (tertiary level),Lappeenranta,Etelä-Karjala,26,1.6.2023,31.7.2025,787590,#NIMI?,#NIMI?,#PUUTTUU!,
2023-1-FI01-KA131-HED-000129391,,Mobility of higher education students and staff supported by internal policy funds,KA131-HED,2023,E10181841,,ITÄ-SUOMEN YLIOPISTO,Higher education institution (tertiary level),Kuopio,Pohjois-Savo,26,1.6.2023,31.7.2025,447220,#NIMI?,#NIMI?,#PUUTTUU!,
2023-1-FI01-KA131-HED-000129183,,Mobility of higher education students and staff supported by internal policy funds,KA131-HED,2023,E10166177,,AB YRKESHÖGSKOLAN VID ÅBO AKADEMI,Higher education institution (tertiary level),Vaasa,Pohjanmaa,26,1.6.2023,31.7.2025,223140,#NIMI?,#NIMI?,#PUUTTUU!,
2023-1-FI01-KA131-HED-000129112,,Mobility of higher education students and staff supported by internal policy funds,KA131-HED,2023,E10012492,,TURUN AMMATTIKORKEAKOULU OY,Higher education institution (tertiary level),Turku,Varsinais-Suomi,26,1.6.2023,31.7.2025,547055,#NIMI?,#NIMI?,#PUUTTUU!,
2023-1-FI01-KA131-HED-000127417,,Mobility of higher education students and staff supported by internal policy funds,KA131-HED,2023,E10101701,,OULUN AMMATTIKORKEAKOULU OY,Higher education institution (tertiary level),Oulu,Pohjois-Pohjanmaa,26,1.6.2023,31.7.2025,471165,#NIMI?,#NIMI?,#PUUTTUU!,
2023-1-FI01-KA131-HED-000127323,,Mobility of higher education students and staff supported by internal policy funds,KA131-HED,2023,E10055788,,LAPIN AMMATTIKORKEAKOULU OY,Higher education institution (tertiary level),Rovaniemi,Lappi,26,1.6.2023,31.7.2025,376150,#NIMI?,#NIMI?,#PUUTTUU!,
2023-1-FI01-KA131-HED-000127128,,Mobility of higher education students and staff supported by internal policy funds,KA131-HED,2023,E10208685,,VAASAN YLIOPISTO,Higher education institution (tertiary level),Vaasa,Pohjanmaa,26,1.6.2023,31.7.2025,638420,#NIMI?,#NIMI?,#PUUTTUU!,
2023-1-FI01-KA131-HED-000126250,,Mobility of higher education students and staff supported by internal policy funds,KA131-HED,2023,E10200892,,LAPIN YLIOPISTO,Higher education institution (tertiary level),Rovaniemi,Lappi,26,1.6.2023,31.7.2025,458455,#NIMI?,#NIMI?,#PUUTTUU!,
2023-1-FI01-KA131-HED-000125707,,Mobility of higher education students and staff supported by internal policy funds,KA131-HED,2023,E10174519,,TAMPEREEN AMMATTIKORKEAKOULU OY,Higher education institution (tertiary level),Tampere,Pirkanmaa,26,1.6.2023,31.7.2025,656375,#NIMI?,#NIMI?,#PUUTTUU!,
2023-1-FI01-KA131-HED-000125596,,Mobility of higher education students and staff supported by internal policy funds,KA131-HED,2023,E10080719,,YRKESHÖGSKOLAN ARCADA AB,Higher education institution (tertiary level),Helsinki,Helsinki-Uusimaa,26,1.6.2023,31.7.2025,231470,#NIMI?,#NIMI?,#PUUTTUU!,
2023-1-FI01-KA131-HED-000125492,,Mobility of higher education students and staff supported by internal policy funds,KA131-HED,2023,E10174122,,SVENSKA HANDELSHÖGSKOLAN,Higher education institution (tertiary level),Helsinki,Helsinki-Uusimaa,26,1.6.2023,31.7.2025,547650,#NIMI?,#NIMI?,#PUUTTUU!,
2023-1-FI01-KA131-HED-000122767,,Mobility of higher education students and staff supported by internal policy funds,KA131-HED,2023,E10148224,,TAMPEREEN KORKEAKOULUSÄÄTIÖ SR,Higher education institution (tertiary level),Tampere,Pirkanmaa,26,1.6.2023,31.7.2025,1022500,#NIMI?,#NIMI?,#PUUTTUU!,
2023-1-FI01-KA131-HED-000122625,,Mobility of higher education students and staff supported by internal policy funds,KA131-HED,2023,E10193398,,METROPOLIA AMMATTIKORKEAKOULU OY,Higher education institution (tertiary level),Helsinki,Helsinki-Uusimaa,26,1.6.2023,31.7.2025,772790,#NIMI?,#NIMI?,#PUUTTUU!,
2023-1-FI01-KA131-HED-000122227,,Mobility of higher education students and staff supported by internal policy funds,KA131-HED,2023,E10183030,,LAUREA-AMMATTIKORKEAKOULU OY,Higher education institution (tertiary level),Vantaa,Helsinki-Uusimaa,26,1.6.2023,31.7.2025,502810,#NIMI?,#NIMI?,#PUUTTUU!,
2023-1-FI01-KA131-HED-000121796,,Mobility of higher education students and staff supported by internal policy funds,KA131-HED,2023,E10095845,,TAIDEYLIOPISTO,Higher education institution (tertiary level),Helsinki,Helsinki-Uusimaa,26,1.6.2023,31.7.2025,423275,#NIMI?,#NIMI?,#PUUTTUU!,
2023-1-FI01-KA131-HED-000121595,,Mobility of higher education students and staff supported by internal policy funds,KA131-HED,2023,E10105289,,KAJAANIN AMMATTIKORKEAKOULU OY,Higher education institution (tertiary level),Kajaani,Kainuu,26,1.6.2023,31.7.2025,176045,#NIMI?,#NIMI?,#PUUTTUU!,
2023-1-FI01-KA131-HED-000120653,,Mobility of higher education students and staff supported by internal policy funds,KA131-HED,2023,E10135471,,SATAKUNNAN AMMATTIKORKEAKOULU OY,Higher education institution (tertiary level),Pori,Satakunta,26,1.6.2023,31.7.2025,214305,#NIMI?,#NIMI?,#PUUTTUU!,
2023-1-FI01-KA131-HED-000120144,,Mobility of higher education students and staff supported by internal policy funds,KA131-HED,2023,E10099170,,"Ålands Landskapsregering, Högskolan på Åland",Higher education institution (tertiary level),Maarianhamina,Åland,26,1.6.2023,31.7.2025,19370,#NIMI?,#NIMI?,#PUUTTUU!,
2023-1-FI01-KA131-HED-000120037,,Mobility of higher education students and staff supported by internal policy funds,KA131-HED,2023,E10181958,,AALTO KORKEAKOULUSÄÄTIÖ SR,Higher education institution (tertiary level),Espoo,Helsinki-Uusimaa,26,1.6.2023,31.7.2025,1270650,#NIMI?,#NIMI?,#PUUTTUU!,
2023-1-FI01-KA131-HED-000119431,,Mobility of higher education students and staff supported by internal policy funds,KA131-HED,2023,E10209161,,ÅBO AKADEMI,Higher education institution (tertiary level),Turku,Varsinais-Suomi,26,1.6.2023,31.7.2025,369275,#NIMI?,#NIMI?,#PUUTTUU!,
2023-1-FI01-KA131-HED-000118911,,Mobility of higher education students and staff supported by internal policy funds,KA131-HED,2023,E10202440,,KAAKKOIS-SUOMEN AMMATTIKORKEAKOULU OY,Higher education institution (tertiary level),Mikkeli,Etelä-Savo,26,1.6.2023,31.7.2025,367750,#NIMI?,#NIMI?,#PUUTTUU!,
2023-1-FI01-KA131-HED-000118662,,Mobility of higher education students and staff supported by internal policy funds,KA131-HED,2023,E10209158,,TURUN YLIOPISTO,Higher education institution (tertiary level),Turku,Varsinais-Suomi,26,1.6.2023,31.7.2025,1067105,#NIMI?,#NIMI?,#PUUTTUU!,
2023-1-FI01-KA131-HED-000118624,,Mobility of higher education students and staff supported by internal policy funds,KA131-HED,2023,E10110096,,SEINÄJOEN AMMATTIKORKEAKOULU OY,Higher education institution (tertiary level),Seinäjoki,Etelä-Pohjanmaa,26,1.6.2023,31.7.2025,387420,#NIMI?,#NIMI?,#PUUTTUU!,
2023-1-FI01-KA131-HED-000117111,,Mobility of higher education students and staff supported by internal policy funds,KA131-HED,2023,E10108914,,HÄMEEN AMMATTIKORKEAKOULU OY,Higher education institution (tertiary level),Hämeenlinna,Kanta-Häme,26,1.6.2023,31.7.2025,354360,#NIMI?,#NIMI?,#PUUTTUU!,
2023-1-FI01-KA131-HED-000115867,,Mobility of higher education students and staff supported by internal policy funds,KA131-HED,2023,E10162341,,DIAKONIA-AMMATTIKORKEAKOULU OY,Higher education institution (tertiary level),Helsinki,Helsinki-Uusimaa,26,1.6.2023,31.7.2025,257680,#NIMI?,#NIMI?,#PUUTTUU!,
2023-1-FI01-KA131-HED-000114902,,Mobility of higher education students and staff supported by internal policy funds,KA131-HED,2023,E10208661,,OULUN YLIOPISTO,Higher education institution (tertiary level),Oulu,Pohjois-Pohjanmaa,26,1.6.2023,31.7.2025,540760,#NIMI?,#NIMI?,#PUUTTUU!,
2023-1-FI01-KA131-HED-000114841,,Mobility of higher education students and staff supported by internal policy funds,KA131-HED,2023,E10209507,,HELSINGIN YLIOPISTO,Higher education institution (tertiary level),Helsinki,Helsinki-Uusimaa,26,1.6.2023,31.7.2025,1316220,#NIMI?,#NIMI?,#PUUTTUU!,
2023-1-FI01-KA131-HED-000114576,,Mobility of higher education students and staff supported by internal policy funds,KA131-HED,2023,E10138816,,HAAGA-HELIA AMMATTIKORKEAKOULU OY,Higher education institution (tertiary level),Helsinki,Helsinki-Uusimaa,26,1.6.2023,31.7.2025,1333510,#NIMI?,#NIMI?,#PUUTTUU!,
2023-1-FI01-KA122-VET-000150013,TAKK Mobility 2023-2025 – Opiskelijoiden ja henkilöstön liikkuvuushanke,Short-term projects for mobility of learners and staff in vocational education and training,KA122-VET,2023,E10145105,,Tampereen Aikuiskoulutussäätiö sr,School/Institute/Educational centre – Vocational Training (secondary level),Tampere,Pirkanmaa,18,1.8.2023,31.1.2025,51070,TOPIC-171_TOPIC-172_TOPIC-67,"Overcoming skills mismatch and addressing the needs of the labour market_Initial and continuous training for teachers, trainers and other education staff_Work-based learning",#PUUTTUU!,
2023-1-FI01-KA122-VET-000139128,Kansainvälisen yhteistyön valmiuksien kehittäminen,Short-term projects for mobility of learners and staff in vocational education and training,KA122-VET,2023,E10043067,,Suomen Yrittäjäopiston kannatus Oy,School/Institute/Educational centre – Vocational Training (secondary level),Kauhava,Etelä-Pohjanmaa,18,1.8.2023,31.1.2025,57818,TOPIC-176_TOPIC-190_TOPIC-97,"Inter-regional cooperation_Digital content, technologies and practices_New learning and teaching methods and approaches",#PUUTTUU!,
2023-1-FI01-KA122-VET-000131768,Kontakt till Europa - mobilitetsprojekt för studerande och personal vid Folkhälsan Utbildning Ab,Short-term projects for mobility of learners and staff in vocational education and training,KA122-VET,2023,E10112344,,Folkhälsan utbildning ab,School/Institute/Educational centre – Vocational Training (secondary level),Vöyri,Pohjanmaa,18,1.8.2023,31.1.2025,78226,TOPIC-180_TOPIC-187_TOPIC-61,"Physical and mental health, well-being_International relations and development cooperation_Green skills",#PUUTTUU!,
2023-1-FI01-KA122-VET-000123731,Rajatonta oppimista 2.0,Short-term projects for mobility of learners and staff in vocational education and training,KA122-VET,2023,E10084476,,Peimari Group for Further Education and Training,School/Institute/Educational centre – Vocational Training (secondary level),Kaarina,Varsinais-Suomi,18,1.6.2023,30.11.2024,55286,TOPIC-187_TOPIC-67,International relations and development cooperation_Work-based learning,#PUUTTUU!,
2023-1-FI01-KA122-VET-000119357,Kelloseppäkoulu KV2023,Short-term projects for mobility of learners and staff in vocational education and training,KA122-VET,2023,E10239985,,Kellosepäntaidon Edistämissäätiö sr,School/Institute/Educational centre – Vocational Training (secondary level),Espoo,Helsinki-Uusimaa,18,1.12.2023,31.5.2025,13102,TOPIC-35_TOPIC-67_TOPIC-72,Teaching and learning of foreign languages_Work-based learning_Cooperation between educational institutions and business,#PUUTTUU!,
2023-1-FI01-KA122-SCH-000149228,Rauhankasvatusta ja maailmankansalaiseksi kasvamista kansainvälistymisen keinoin,Short-term projects for mobility of learners and staff in school education,KA122-SCH,2023,E10176231,,"Oulun Lyseon lukio, Oulun kaupunki",School/Institute/Educational centre – General education (secondary level),Oulu,Pohjois-Pohjanmaa,18,1.8.2023,31.1.2025,44137,TOPIC-187_TOPIC-190_TOPIC-70,"International relations and development cooperation_Digital content, technologies and practices_Cultural heritage",#PUUTTUU!,
2023-1-FI01-KA122-SCH-000148940,Work experience exchange as a method of internationalization and introducing European labour market for future employees,Short-term projects for mobility of learners and staff in school education,KA122-SCH,2023,E10189210,,Vaalan yhtenäiskoulu,School/Institute/Educational centre – General education (basic education),Vaala,Kainuu,18,1.9.2023,28.2.2025,7686,TOPIC-35_TOPIC-72_TOPIC-83,"Teaching and learning of foreign languages_Cooperation between educational institutions and business_European identity, citizenship and values",#PUUTTUU!,
2023-1-FI01-KA122-SCH-000146556,Kansainvälinen Laanila ,Short-term projects for mobility of learners and staff in school education,KA122-SCH,2023,E10180430,,"Laanilan lukio, Oulun kaupunki",School/Institute/Educational centre – General education (secondary level),Oulu,Pohjois-Pohjanmaa,18,1.8.2023,31.1.2025,86522,TOPIC-13_TOPIC-180_TOPIC-187,"Environment and climate change_Physical and mental health, well-being_International relations and development cooperation",#PUUTTUU!,
2023-1-FI01-KA122-SCH-000146123,"Yhdessä enemmän: Koulu mielen hyvinvoinnin, osallisuuden ja yhteisöllisyyden rakentajana",Short-term projects for mobility of learners and staff in school education,KA122-SCH,2023,E10178616,,Mäntykankaan koulu,School/Institute/Educational centre – General education (basic education),Kokkola,Keski-Pohjanmaa,18,13.8.2023,12.2.2025,41745,TOPIC-160_TOPIC-169_TOPIC-180,"Democracy and inclusive democratic participation_Preventing early school leaving and failure in education_Physical and mental health, well-being",#PUUTTUU!,
2023-1-FI01-KA122-SCH-000145939,Osallisuus ja hyvinvointi,Short-term projects for mobility of learners and staff in school education,KA122-SCH,2023,E10116745,,Hakkarin koulu,School/Institute/Educational centre – General education (basic education),Lempäälä,Pirkanmaa,18,1.6.2023,30.11.2024,26640,TOPIC-180_TOPIC-187_TOPIC-97,"Physical and mental health, well-being_International relations and development cooperation_New learning and teaching methods and approaches",#PUUTTUU!,
2023-1-FI01-KA122-SCH-000145931,"Taidetta, taitoja ja verkostoja - Lapuan taidekoulu ",Short-term projects for mobility of learners and staff in school education,KA122-SCH,2023,E10211972,,Lapuan kaupunki,School/Institute/Educational centre – General education (basic education),Lapua,Etelä-Pohjanmaa,18,1.6.2023,30.11.2024,20770,TOPIC-161_TOPIC-39_TOPIC-97,"Creativity, arts and culture_Open and distance learning_New learning and teaching methods and approaches",#PUUTTUU!,
2023-1-FI01-KA122-SCH-000144222,Equalizing  teacher language competencies and improving their work with children from different backgrounds,Short-term projects for mobility of learners and staff in school education,KA122-SCH,2023,E10142903,,Seminaarin koulu,School/Institute/Educational centre – General education (basic education),Hämeenlinna,Kanta-Häme,14,8.9.2023,7.11.2024,54000,TOPIC-165_TOPIC-35_TOPIC-97,"Inclusion, promoting equality and non-discrimination_Teaching and learning of foreign languages_New learning and teaching methods and approaches",#PUUTTUU!,
2023-1-FI01-KA122-SCH-000143514,Vapaana Ounasjoki vielä virtaa - joki ja sen merkitys ympäristölle ja kulttuurihistorialle,Short-term projects for mobility of learners and staff in school education,KA122-SCH,2023,E10324783,,Kittilän lukio,School/Institute/Educational centre – General education (secondary level),Kittilä,Lappi,18,1.6.2023,30.11.2024,23185,TOPIC-13_TOPIC-131_TOPIC-170,"Environment and climate change_Key competences development_Creating new, innovative or joint curricula or courses",#PUUTTUU!,
2023-1-FI01-KA122-SCH-000142048,"Saksan kielen käytännön hyötyjen havainnollistaminen, sen käyttö kansainvälisessä yhteistyössä ja sen opiskelun elävöittäminen Karjaan lukiossa",Short-term projects for mobility of learners and staff in school education,KA122-SCH,2023,E10202878,,Karjaan lukio,School/Institute/Educational centre – General education (secondary level),Raasepori,Helsinki-Uusimaa,12,1.8.2023,31.7.2024,13157,TOPIC-160_TOPIC-164_TOPIC-83,"Democracy and inclusive democratic participation_Information and communication technologies (ICT)_European identity, citizenship and values",#PUUTTUU!,
2023-1-FI01-KA122-SCH-000141732,Better together,Short-term projects for mobility of learners and staff in school education,KA122-SCH,2023,E10198198,,Oxhamns skola,School/Institute/Educational centre – General education (basic education),Pietarsaari,Pohjanmaa,12,21.8.2023,20.8.2024,33855,TOPIC-102_TOPIC-35_TOPIC-97,"Bridging intercultural, intergenerational and social divide_Teaching and learning of foreign languages_New learning and teaching methods and approaches",#PUUTTUU!,
2023-1-FI01-KA122-SCH-000141684,Digitaidot haltuun,Short-term projects for mobility of learners and staff in school education,KA122-SCH,2023,E10243625,,Vääksyn Yhteiskoulu,School/Institute/Educational centre – General education (basic education),Asikkala,Päijät-Häme,18,1.6.2023,30.11.2024,54474,TOPIC-163_TOPIC-190_TOPIC-194,"Digital skills and competences_Digital content, technologies and practices_Artificial Intelligence (AI) and data usage",#PUUTTUU!,
2023-1-FI01-KA122-SCH-000141072,Osyk Yhdessä,Short-term projects for mobility of learners and staff in school education,KA122-SCH,2023,E10158581,,"Oulun Suomalaisen Yhteiskoulun lukio, Oulun kaupunki",School/Institute/Educational centre – General education (secondary level),Oulu,Pohjois-Pohjanmaa,18,1.6.2023,30.11.2024,61685,TOPIC-170_TOPIC-173_TOPIC-187,"Creating new, innovative or joint curricula or courses_Science, technology, engineering and mathematics (STEM)_International relations and development cooperation",#PUUTTUU!,
2023-1-FI01-KA122-SCH-000140913,Hyvinvoiva ja kansainvälinen uusi koulumme,Short-term projects for mobility of learners and staff in school education,KA122-SCH,2023,E10114720,,Kirkonkylän koulu,School/Institute/Educational centre – General education (basic education),Kempele,Pohjois-Pohjanmaa,18,1.6.2023,30.11.2024,27065,TOPIC-180_TOPIC-187_TOPIC-83,"Physical and mental health, well-being_International relations and development cooperation_European identity, citizenship and values",#PUUTTUU!,
2023-1-FI01-KA122-SCH-000140419,Social and Green Entrepreneuship,Short-term projects for mobility of learners and staff in school education,KA122-SCH,2023,E10162279,,Puolimatkan koulu,School/Institute/Educational centre – General education (basic education),Hyvinkää,Helsinki-Uusimaa,18,1.6.2023,30.11.2024,39850,TOPIC-13_TOPIC-180_TOPIC-41,"Environment and climate change_Physical and mental health, well-being_Entrepreneurial learning - entrepreneurship education",#PUUTTUU!,
2023-1-FI01-KA122-SCH-000139816,Lyhytkestoinen opettajien koulutus ,Short-term projects for mobility of learners and staff in school education,KA122-SCH,2023,E10043938,,Rautalammin lukio,School/Institute/Educational centre – General education (secondary level),Rautalampi,Pohjois-Savo,18,1.8.2023,31.1.2025,4780,TOPIC-187_TOPIC-194_TOPIC-97,International relations and development cooperation_Artificial Intelligence (AI) and data usage_New learning and teaching methods and approaches,#PUUTTUU!,
2023-1-FI01-KA122-SCH-000138400,SPEAK UP - Aktiivinen ja osallistuva koululainen,Short-term projects for mobility of learners and staff in school education,KA122-SCH,2023,E10001894,,Antinkankaan koulu,School/Institute/Educational centre – General education (basic education),Raahe,Pohjois-Pohjanmaa,12,1.9.2023,31.8.2024,17028,TOPIC-160_TOPIC-35_TOPIC-83,"Democracy and inclusive democratic participation_Teaching and learning of foreign languages_European identity, citizenship and values",#PUUTTUU!,
2023-1-FI01-KA122-SCH-000138122,Kansainvälisyys ja ilmasto-osaaminen osaksi koulun arkea,Short-term projects for mobility of learners and staff in school education,KA122-SCH,2023,E10287166,,Savukosken lukio,School/Institute/Educational centre – General education (secondary level),Savukoski,Lappi,12,1.6.2023,31.5.2024,23392,TOPIC-13_TOPIC-184_TOPIC-35,Environment and climate change_Tackling geographical remoteness and involving rural areas_Teaching and learning of foreign languages,#PUUTTUU!,
2023-1-FI01-KA122-SCH-000138082,Hyvinvoivat opettajat - hyvinvoiva sairaalakoulu,Short-term projects for mobility of learners and staff in school education,KA122-SCH,2023,E10319538,,Kanervikon koulu,School/Institute/Educational centre – General education (basic education),Lahti,Päijät-Häme,18,1.9.2023,28.2.2025,20770,TOPIC-169_TOPIC-180,"Preventing early school leaving and failure in education_Physical and mental health, well-being",#PUUTTUU!,
2023-1-FI01-KA122-SCH-000138039,Teacher and student exchange in Magdeburg,Short-term projects for mobility of learners and staff in school education,KA122-SCH,2023,E10323952,,Konneveden kunta,Local Public body,Konnevesi,Keski-Suomi,12,1.8.2023,31.7.2024,38130,TOPIC-163_TOPIC-175_TOPIC-187,Digital skills and competences_Green transport and mobility_International relations and development cooperation,#PUUTTUU!,
